id,name,code,state_id:id
district_bkk_001,สัมพันธวงศ์,BKK-1001,base.state_th_001
district_bkk_002,ป้อมปราบศัตรูพ่าย,BKK-1002,base.state_th_001
district_bkk_003,คลองเตย,BKK-1003,base.state_th_001
district_bkk_004,วัฒนา,BKK-1004,base.state_th_001
district_bkk_005,ปทุมวัน,BKK-1005,base.state_th_001
district_bkk_006,ยานนาวา,BKK-1006,base.state_th_001
district_bkk_007,บางคอแหลม,BKK-1007,base.state_th_001
district_bkk_008,สาทร,BKK-1008,base.state_th_001
district_sp_001,พระประแดง,SP-1101,base.state_th_057
district_bkk_009,ราษฎร์บูรณะ,BKK-1009,base.state_th_001
district_bkk_010,ทุ่งครุ,BKK-1010,base.state_th_001
district_bkk_011,บางขุนเทียน,BKK-1011,base.state_th_001
district_bkk_012,บางบอน,BKK-1012,base.state_th_001
district_bkk_013,จอมทอง,BKK-1013,base.state_th_001
district_bkk_014,ภาษีเจริญ,BKK-1014,base.state_th_001
district_bkk_015,บางแค,BKK-1015,base.state_th_001
district_bkk_016,หนองแขม,BKK-1016,base.state_th_001
district_bkk_017,ทวีวัฒนา,BKK-1017,base.state_th_001
district_bkk_018,ตลิ่งชัน,BKK-1018,base.state_th_001
district_bkk_019,พระนคร,BKK-1019,base.state_th_001
district_bkk_020,ดอนเมือง,BKK-1020,base.state_th_001
district_bkk_021,หลักสี่,BKK-1021,base.state_th_001
district_bkk_022,สายไหม,BKK-1022,base.state_th_001
district_bkk_023,บางเขน,BKK-1023,base.state_th_001
district_bkk_024,คันนายาว,BKK-1024,base.state_th_001
district_bkk_025,บึงกุ่ม,BKK-1025,base.state_th_001
district_bkk_026,ลาดพร้าว,BKK-1026,base.state_th_001
district_bkk_027,สะพานสูง,BKK-1027,base.state_th_001
district_bkk_028,บางกะปิ,BKK-1028,base.state_th_001
district_bkk_029,สวนหลวง,BKK-1029,base.state_th_001
district_bkk_030,ประเวศ,BKK-1030,base.state_th_001
district_bkk_031,พระโขนง,BKK-1031,base.state_th_001
district_bkk_032,บางนา,BKK-1032,base.state_th_001
district_sp_002,เมืองสมุทรปราการ,SP-1102,base.state_th_057
district_sp_003,พระสมุทรเจดีย์,SP-1103,base.state_th_057
district_bkk_033,ดุสิต,BKK-1033,base.state_th_001
district_bkk_034,ห้วยขวาง,BKK-1034,base.state_th_001
district_bkk_035,วังทองหลาง,BKK-1035,base.state_th_001
district_bkk_036,ดินแดง,BKK-1036,base.state_th_001
district_bkk_037,ราชเทวี,BKK-1037,base.state_th_001
district_bkk_038,พญาไท,BKK-1038,base.state_th_001
district_bkk_039,บางรัก,BKK-1039,base.state_th_001
district_bkk_040,คลองสามวา,BKK-1040,base.state_th_001
district_bkk_041,มีนบุรี,BKK-1041,base.state_th_001
district_bkk_042,ลาดกระบัง,BKK-1042,base.state_th_001
district_bkk_043,หนองจอก,BKK-1043,base.state_th_001
district_sp_004,บางพลี,SP-1104,base.state_th_057
district_sp_005,บางบ่อ,SP-1105,base.state_th_057
district_sp_006,บางเสาธง,SP-1106,base.state_th_057
district_bkk_044,บางกอกใหญ่,BKK-1044,base.state_th_001
district_bkk_045,ธนบุรี,BKK-1045,base.state_th_001
district_bkk_046,คลองสาน,BKK-1046,base.state_th_001
district_bkk_047,บางพลัด,BKK-1047,base.state_th_001
district_bkk_048,บางกอกน้อย,BKK-1048,base.state_th_001
district_bkk_049,บางซื่อ,BKK-1049,base.state_th_001
district_bkk_050,จตุจักร,BKK-1050,base.state_th_001
district_nb_001,เมืองนนทบุรี,NB-1201,base.state_th_036
district_nb_002,บางบัวทอง,NB-1202,base.state_th_036
district_nb_003,ปากเกร็ด,NB-1203,base.state_th_036
district_nb_004,บางกรวย,NB-1204,base.state_th_036
district_nb_005,บางใหญ่,NB-1205,base.state_th_036
district_nb_006,ไทรน้อย,NB-1206,base.state_th_036
district_pt_001,เมืองปทุมธานี,PT-1301,base.state_th_037
district_pt_002,ธัญบุรี,PT-1302,base.state_th_037
district_pt_003,คลองหลวง,PT-1303,base.state_th_037
district_pt_004,ลำลูกกา,PT-1304,base.state_th_037
district_pt_005,ลาดหลุมแก้ว,PT-1305,base.state_th_037
district_pt_006,สามโคก,PT-1306,base.state_th_037
district_pt_007,หนองเสือ,PT-1307,base.state_th_037
district_ay_001,พระนครศรีอยุธยา,AY-1401,base.state_th_046
district_ay_002,อุทัย,AY-1402,base.state_th_046
district_ay_003,เสนา,AY-1403,base.state_th_046
district_ay_004,ผักไห่,AY-1404,base.state_th_046
district_ay_005,ท่าเรือ,AY-1405,base.state_th_046
district_ay_006,ภาชี,AY-1406,base.state_th_046
district_ay_007,มหาราช,AY-1407,base.state_th_046
district_ay_008,บางปะอิน,AY-1408,base.state_th_046
district_ay_009,วังน้อย,AY-1409,base.state_th_046
district_ay_010,บางไทร,AY-1410,base.state_th_046
district_ay_011,บางปะหัน,AY-1411,base.state_th_046
district_ay_012,ลาดบัวหลวง,AY-1412,base.state_th_046
district_ay_013,เมืองลพบุรี,AY-1413,base.state_th_022
district_ay_014,บ้านแพรก,AY-1414,base.state_th_046
district_ay_015,บางบาล,AY-1415,base.state_th_046
district_ay_016,นครหลวง,AY-1416,base.state_th_046
district_ay_017,บางซ้าย,AY-1417,base.state_th_046
district_at_001,เมืองอ่างทอง,AT-1501,base.state_th_003
district_at_002,วิเศษชัยชาญ,AT-1502,base.state_th_003
district_at_003,โพธิ์ทอง,AT-1503,base.state_th_003
district_at_004,ป่าโมก,AT-1504,base.state_th_003
district_at_005,ไชโย,AT-1505,base.state_th_003
district_at_006,แสวงหา,AT-1506,base.state_th_003
district_at_007,สามโก้,AT-1507,base.state_th_003
district_lb_001,บ้านหมี่,LB-1601,base.state_th_022
district_lb_002,โคกสำโรง,LB-1602,base.state_th_022
district_lb_003,ชัยบาดาล,LB-1603,base.state_th_022
district_lb_004,ลำสนธิ,LB-1604,base.state_th_022
district_lb_005,พัฒนานิคม,LB-1605,base.state_th_022
district_lb_006,ท่าวุ้ง,LB-1606,base.state_th_022
district_lb_007,หนองม่วง,LB-1607,base.state_th_022
district_lb_008,ท่าหลวง,LB-1608,base.state_th_022
district_lb_009,สระโบสถ์,LB-1609,base.state_th_022
district_lb_010,โคกเจริญ,LB-1610,base.state_th_022
district_sb_001,เมืองสิงห์บุรี,SB-1701,base.state_th_062
district_sb_002,อินทร์บุรี,SB-1702,base.state_th_062
district_sb_003,พรหมบุรี,SB-1703,base.state_th_062
district_sb_004,บางระจัน,SB-1704,base.state_th_062
district_sb_005,ท่าช้าง,SB-1705,base.state_th_062
district_sb_006,ค่ายบางระจัน,SB-1706,base.state_th_062
district_cn_001,เมืองชัยนาท,CN-1801,base.state_th_007
district_cn_002,มโนรมย์,CN-1802,base.state_th_007
district_cn_003,วัดสิงห์,CN-1803,base.state_th_007
district_cn_004,หนองมะโมง,CN-1804,base.state_th_007
district_cn_005,เนินขาม,CN-1805,base.state_th_007
district_cn_006,หันคา,CN-1806,base.state_th_007
district_cn_007,สรรคบุรี,CN-1807,base.state_th_007
district_cn_008,สรรพยา,CN-1808,base.state_th_007
district_sb_007,เมืองสระบุรี,SB-1901,base.state_th_060
district_sb_008,เฉลิมพระเกียรติ,SB-1902,base.state_th_060
district_sb_009,แก่งคอย,SB-1903,base.state_th_060
district_sb_010,พระพุทธบาท,SB-1904,base.state_th_060
district_sb_011,บ้านหมอ,SB-1905,base.state_th_060
district_sb_012,หนองแค,SB-1906,base.state_th_060
district_sb_013,วิหารแดง,SB-1907,base.state_th_060
district_sb_014,เสาไห้,SB-1908,base.state_th_060
district_sb_015,หนองแซง,SB-1909,base.state_th_060
district_sb_016,มวกเหล็ก,SB-1910,base.state_th_060
district_sb_017,หนองโดน,SB-1911,base.state_th_060
district_sb_018,ดอนพุด,SB-1912,base.state_th_060
district_sb_019,วังม่วง,SB-1913,base.state_th_060
district_cb_001,เมืองชลบุรี,CB-2001,base.state_th_012
district_cb_002,พานทอง,CB-2002,base.state_th_012
district_cb_003,ศรีราชา,CB-2003,base.state_th_012
district_cb_004,เกาะสีชัง,CB-2004,base.state_th_012
district_cb_005,พนัสนิคม,CB-2005,base.state_th_012
district_cb_006,บางละมุง,CB-2006,base.state_th_012
district_cb_007,บ้านบึง,CB-2007,base.state_th_012
district_cb_008,สัตหีบ,CB-2008,base.state_th_012
district_cb_009,หนองใหญ่,CB-2009,base.state_th_012
district_cb_010,เกาะจันทร์,CB-2010,base.state_th_012
district_cb_011,บ่อทอง,CB-2011,base.state_th_012
district_ry_001,เมืองระยอง,RY-2101,base.state_th_053
district_ry_002,แกลง,RY-2102,base.state_th_053
district_ry_003,เขาชะเมา,RY-2103,base.state_th_053
district_ry_004,บ้านค่าย,RY-2104,base.state_th_053
district_ry_005,บ้านฉาง,RY-2105,base.state_th_053
district_ry_006,ปลวกแดง,RY-2106,base.state_th_053
district_ry_007,นิคมพัฒนา,RY-2107,base.state_th_053
district_ry_008,วังจันทร์,RY-2108,base.state_th_053
district_ct_001,เมืองจันทบุรี,CT-2201,base.state_th_009
district_ct_002,ขลุง,CT-2202,base.state_th_009
district_ct_003,ท่าใหม่,CT-2203,base.state_th_009
district_ct_004,แหลมสิงห์,CT-2204,base.state_th_009
district_ct_005,โป่งน้ำร้อน,CT-2205,base.state_th_009
